,"('num_occur', 'index', 0)","('num_occur', 'score', 0)","('num_occur', 'index', 1)","('num_occur', 'score', 1)","('num_occur', 'index', 2)","('num_occur', 'score', 2)","('num_occur', 'index', 3)","('num_occur', 'score', 3)","('num_occur', 'index', 4)","('num_occur', 'score', 4)","('percentage_of_terms', 'index', 0)","('percentage_of_terms', 'score', 0)","('percentage_of_terms', 'index', 1)","('percentage_of_terms', 'score', 1)","('percentage_of_terms', 'index', 2)","('percentage_of_terms', 'score', 2)","('percentage_of_terms', 'index', 3)","('percentage_of_terms', 'score', 3)","('percentage_of_terms', 'index', 4)","('percentage_of_terms', 'score', 4)","('td-idf', 'index', 0)","('td-idf', 'score', 0)","('td-idf', 'index', 1)","('td-idf', 'score', 1)","('td-idf', 'index', 2)","('td-idf', 'score', 2)","('td-idf', 'index', 3)","('td-idf', 'score', 3)","('td-idf', 'index', 4)","('td-idf', 'score', 4)","('word_order', 'index', 0)","('word_order', 'score', 0)","('word_order', 'index', 1)","('word_order', 'score', 1)","('word_order', 'index', 2)","('word_order', 'score', 2)",truth,"('word_order', 'index', 3)","('word_order', 'score', 3)","('word_order', 'index', 4)","('word_order', 'score', 4)"
0,322,12,336,11,985,9,11,8,681,7,52,1.0,83,0.8,279,0.6,290,0.6,114,0.4,366,0.5527519553612806,685,0.24847401588779633,11,0.21972748536100595,687,0.21578006642887573,368,0.21024724421275073,52,4,279.0,1.0,691.0,1.0,52,437.0,1.0,761.0,1.0
0,39,4,53,3,134,1,720,1,735,1,53,1.0,39,0.2,134,0.2,720,0.2,735,0.2,53,0.397950285468979,39,0.38705434668142347,720,0.16232247169598998,770,0.08362066723732817,134,0.035838365433465136,53,5,,,,,53,,,,
0,444,6,822,4,196,3,942,2,212,2,54,1.0,183,0.2,585,0.2,606,0.2,942,0.2,212,0.40873824949762244,366,0.40873824949762244,942,0.40740918183733565,62,0.19448407210972932,127,0.19448407210972932,54,5,,,,,54,,,,
0,12,5,46,5,746,5,31,4,741,4,55,1.0,235,0.6,334,0.6,204,0.4,221,0.4,135,0.47093816179772463,35,0.3296567132584073,478,0.21730684057702748,334,0.20586963844139444,470,0.20586963844139444,55,4,482.0,1.0,235.0,1.0,55,334.0,1.0,515.0,0.0
0,123,21,871,9,963,6,56,2,791,2,56,1.0,278,0.4,245,0.2,307,0.2,748,0.2,837,0.34454514599779273,123,0.15844046859752514,871,0.13482201365131022,51,0.11812976434210037,43,0.08468534241933103,56,4,278.0,0.0,,,56,,,,
0,322,19,166,18,779,18,963,18,985,18,57,1.0,58,0.8,754,0.8,701,0.8,724,0.8,154,0.5539931002202255,57,0.41549482516516917,372,0.147836579134038,657,0.147836579134038,805,0.147836579134038,57,8,58.0,2.0,583.0,2.0,57,701.0,2.0,234.0,2.0
0,9,5,38,5,225,5,282,5,701,5,58,1.0,724,0.8,57,0.6,284,0.4,12,0.4,154,0.5539931002202255,57,0.4054921569329465,936,0.35360872265014337,378,0.34289330681226027,992,0.22187213970205075,58,4,331.0,0.0,12.0,0.0,58,543.0,0.0,849.0,0.0
0,596,15,572,10,561,8,603,7,599,6,59,1.0,14,0.6,0,0.4,27,0.4,42,0.4,223,0.30893995740226116,546,0.1853639744413567,236,0.15277250640771156,185,0.14982488724697582,561,0.13815948405566958,59,5,403.0,1.0,316.0,1.0,59,0.0,0.0,14.0,0.0
0,166,7,444,5,106,4,968,3,123,3,60,1.0,857,0.6,53,0.4,423,0.4,770,0.4,179,0.37292848687489755,638,0.161746535611502,62,0.13664525189063512,161,0.13013833513393822,930,0.12783193943489676,60,4,970.0,1.0,770.0,0.0,60,771.0,0.0,520.0,0.0
0,510,8,408,6,18,5,23,5,621,5,5,1.0,61,1.0,0,0.4,31,0.4,32,0.4,510,0.27446283551031375,229,0.13113668026756464,208,0.12411370870503159,952,0.11104910778871246,363,0.11023150173190309,5,4,61.0,4.0,0.0,0.0,61,32.0,0.0,36.0,0.0
